,Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn
305,1.0,7.0,6,Laptop & Accessory,4,Single,8,0,1.0,192.35,1
2694,8.0,7.0,2,Laptop & Accessory,1,Married,2,0,,222.25,0
2631,1.0,7.0,5,Mobile Phone,5,Single,8,0,8.0,148.62,1
2240,10.0,9.0,4,Laptop & Accessory,4,Single,11,1,13.0,179.1,0
3701,28.0,33.0,2,Grocery,1,Single,4,1,5.0,298.28,0
65,1.0,31.0,6,Mobile Phone,1,Single,3,1,1.0,148.4,1
2768,12.0,14.0,5,Laptop & Accessory,1,Single,2,0,6.0,165.28,0
925,5.0,8.0,1,Laptop & Accessory,1,Single,8,0,7.0,150.55,0
2442,1.0,10.0,5,Mobile Phone,1,Single,2,0,2.0,145.45,0
3330,28.0,8.0,4,Others,5,Married,9,0,0.0,290.38,0
2310,14.0,13.0,1,Mobile Phone,3,Married,2,0,8.0,133.76,0
1583,3.0,17.0,4,Mobile Phone,4,Married,3,0,3.0,147.97,0
233,4.0,27.0,4,Laptop & Accessory,5,Married,2,0,,224.57,0
518,8.0,7.0,5,Fashion,5,Divorced,11,0,,229.82,1
1568,7.0,16.0,3,Mobile Phone,3,Married,2,1,0.0,138.15,0
2817,7.0,35.0,3,Fashion,4,Married,4,0,3.0,192.5,0
1909,31.0,8.0,6,Fashion,1,Married,5,0,1.0,233.83,0
3660,2.0,34.0,6,Laptop & Accessory,5,Married,2,0,1.0,173.77,0
1045,12.0,34.0,4,Laptop & Accessory,5,Single,4,0,3.0,142.84,1
869,10.0,11.0,4,Laptop & Accessory,4,Married,9,0,3.0,176.31,0
3068,19.0,6.0,3,Others,2,Married,10,0,2.0,296.27,0
381,5.0,9.0,5,Laptop & Accessory,5,Divorced,5,0,1.0,189.1,0
2622,0.0,6.0,3,Laptop & Accessory,4,Married,1,1,4.0,163.49,0
2606,0.0,13.0,3,Mobile Phone,4,Single,2,0,0.0,126.79,1
2762,31.0,36.0,5,Grocery,1,Married,5,0,1.0,266.18,0
975,,23.0,4,Mobile Phone,4,Divorced,2,0,0.0,121.27,0
1406,12.0,8.0,4,Laptop & Accessory,2,Divorced,9,0,4.0,152.04,0
2558,11.0,13.0,4,Laptop & Accessory,1,Married,6,0,2.0,190.02,0
782,1.0,24.0,4,Mobile Phone,3,Single,3,1,8.0,148.94,1
100,4.0,8.0,5,Mobile Phone,1,Married,5,1,0.0,127.78,1
2303,10.0,7.0,4,Laptop & Accessory,4,Married,2,0,6.0,177.28,0
901,3.0,9.0,5,Mobile Phone,5,Single,4,1,1.0,161.46,1
945,4.0,11.0,5,Laptop & Accessory,4,Married,3,1,8.0,177.09,0
1744,,13.0,3,Mobile Phone,4,Single,3,0,3.0,120.13,0
545,18.0,15.0,2,Mobile Phone,2,Divorced,4,1,3.0,153.18,0
1334,18.0,11.0,5,Laptop & Accessory,5,Single,2,1,4.0,157.69,0
2194,1.0,18.0,4,Mobile Phone,4,Married,3,0,3.0,147.44,0
658,5.0,16.0,3,Fashion,1,Single,3,0,,212.44,0
1343,0.0,,4,Mobile Phone,5,Single,8,0,0.0,125.61,1
187,4.0,6.0,3,Laptop & Accessory,5,Married,2,0,3.0,141.48,0
2304,1.0,17.0,4,Fashion,5,Married,3,0,,212.93,0
1534,7.0,7.0,3,Laptop & Accessory,1,Married,10,0,1.0,154.84,0
2600,0.0,,3,Mobile Phone,1,Single,1,1,2.0,123.79,0
966,1.0,12.0,4,Mobile Phone,5,Single,3,1,3.0,148.8,0
1822,6.0,13.0,4,Laptop & Accessory,3,Single,3,0,8.0,175.1,0
2873,13.0,6.0,4,Grocery,4,Married,2,0,11.0,235.03,0
3265,17.0,9.0,4,Laptop & Accessory,1,Married,3,0,8.0,181.75,0
3011,,6.0,3,Mobile Phone,5,Single,3,0,2.0,120.8,0
1347,1.0,11.0,6,Fashion,2,Divorced,3,0,,229.0,1
2555,4.0,9.0,6,Laptop & Accessory,1,Single,4,0,3.0,185.91,0
626,10.0,9.0,4,Mobile Phone,3,Single,6,0,10.0,150.19,0
1780,1.0,7.0,6,Mobile Phone,5,Single,2,0,1.0,148.25,1
153,2.0,16.0,4,Mobile Phone,3,Married,7,0,3.0,148.77,0
1724,23.0,18.0,3,Fashion,1,Single,5,0,1.0,192.08,0
2652,6.0,,4,Mobile Phone,1,Single,1,0,2.0,123.42,0
3691,29.0,25.0,4,Grocery,4,Single,5,0,9.0,293.35,0
2350,6.0,14.0,3,Laptop & Accessory,3,Married,1,0,2.0,171.04,0
760,27.0,14.0,3,Laptop & Accessory,3,Single,8,0,0.0,137.8,0
2215,5.0,18.0,4,Mobile Phone,2,Divorced,5,1,3.0,148.56,0
2135,6.0,36.0,4,Mobile Phone,3,Single,11,0,8.0,165.25,0
3520,5.0,14.0,1,Laptop & Accessory,3,Married,6,0,3.0,151.75,0
23,5.0,14.0,3,Fashion,1,Single,2,0,7.0,189.98,0
2574,0.0,24.0,3,Laptop & Accessory,3,Married,1,1,2.0,146.14,1
160,10.0,14.0,3,Laptop & Accessory,4,Married,3,0,7.0,140.71,0
894,16.0,9.0,4,Grocery,5,Divorced,2,0,8.0,301.65,0
3898,0.0,,3,Mobile Phone,3,Married,2,0,2.0,126.1,1
937,26.0,6.0,4,Grocery,3,Married,5,1,,229.65,0
3698,9.0,,4,Mobile Phone,5,Divorced,1,0,3.0,123.42,0
1299,6.0,21.0,3,Laptop & Accessory,1,Married,1,1,1.0,148.78,0
2815,4.0,8.0,5,Mobile Phone,2,Married,5,1,0.0,127.78,1
453,15.0,32.0,3,Grocery,4,Married,6,0,8.0,235.25,0
3840,12.0,5.0,4,Others,2,Divorced,2,0,3.0,292.72,0
785,21.0,32.0,4,Fashion,3,Single,4,0,,211.33,0
958,5.0,18.0,3,Grocery,5,Single,1,1,14.0,237.58,1
3894,9.0,24.0,4,Laptop & Accessory,5,Divorced,5,1,,214.66,0
2598,16.0,20.0,3,Grocery,5,Divorced,7,0,0.0,271.59,0
316,17.0,9.0,5,Fashion,1,Married,2,0,,226.69,1
1470,1.0,15.0,5,Mobile Phone,1,Married,8,0,3.0,146.8,1
565,8.0,22.0,4,Laptop & Accessory,5,Single,3,0,7.0,186.25,0
2456,9.0,21.0,5,Laptop & Accessory,1,Married,2,0,11.0,154.06,0
3848,16.0,20.0,3,Grocery,5,Married,7,0,0.0,271.59,0
311,1.0,26.0,3,Laptop & Accessory,2,Single,10,1,5.0,178.04,1
292,16.0,14.0,2,Laptop & Accessory,4,Married,8,1,1.0,148.72,0
719,23.0,28.0,5,Grocery,1,Single,2,1,9.0,244.11,0
313,1.0,25.0,2,Laptop & Accessory,3,Divorced,4,0,3.0,187.32,0
2908,1.0,7.0,5,Laptop & Accessory,5,Married,3,0,,222.14,1
2717,26.0,127.0,4,Mobile Phone,1,Married,4,0,1.0,159.82,0
780,5.0,8.0,6,Laptop & Accessory,5,Married,3,0,8.0,175.03,0
1896,1.0,14.0,4,Mobile Phone,3,Married,5,1,8.0,158.39,1
1616,19.0,13.0,4,Fashion,5,Married,6,1,1.0,257.45,0
3147,5.0,9.0,4,Mobile Phone,3,Married,3,0,4.0,159.77,0
3483,0.0,27.0,1,Mobile Phone,1,Single,2,0,2.0,126.78,0
943,23.0,7.0,5,Grocery,3,Single,9,1,8.0,264.64,0
87,4.0,10.0,4,Mobile Phone,1,Married,6,0,5.0,145.97,0
2983,1.0,16.0,5,Mobile Phone,5,Single,2,1,3.0,148.21,1
1688,,19.0,3,Mobile Phone,4,Divorced,4,0,4.0,121.43,0
3161,10.0,6.0,4,Mobile Phone,5,Divorced,3,0,2.0,139.2,0
1009,7.0,14.0,3,Laptop & Accessory,5,Divorced,6,0,2.0,165.0,0
13,1.0,7.0,5,Fashion,3,Divorced,7,0,,231.09,1
908,5.0,33.0,4,Mobile Phone,3,Married,3,0,4.0,154.11,0
841,,15.0,3,Mobile Phone,5,Single,4,0,0.0,120.18,1
3287,0.0,30.0,3,Mobile Phone,4,Single,9,0,2.0,135.97,0
529,17.0,32.0,5,Fashion,1,Married,7,0,1.0,232.98,0
3031,15.0,,4,Mobile Phone,5,Married,1,1,8.0,125.93,0
416,4.0,25.0,4,Mobile Phone,3,Single,3,0,5.0,151.32,0
1803,4.0,8.0,3,Mobile Phone,2,Married,1,1,2.0,126.95,0
1425,5.0,10.0,4,Laptop & Accessory,3,Married,2,0,8.0,161.62,0
1516,1.0,15.0,6,Mobile Phone,3,Married,3,0,3.0,171.21,0
2822,0.0,11.0,3,Others,3,Married,7,0,0.0,283.03,0
1862,1.0,9.0,4,Mobile Phone,5,Married,2,0,3.0,155.41,1
1592,14.0,25.0,3,Laptop & Accessory,5,Married,3,0,0.0,130.72,0
2336,13.0,17.0,4,Laptop & Accessory,5,Married,4,0,8.0,178.77,0
3620,1.0,9.0,5,Mobile Phone,2,Single,3,0,1.0,136.02,1
389,11.0,,4,Mobile Phone,4,Single,2,0,3.0,124.4,0
2919,0.0,,4,Mobile Phone,5,Single,7,1,0.0,124.04,1
3076,1.0,8.0,4,Mobile Phone,4,Single,3,1,3.0,148.02,1
1594,0.0,14.0,2,Laptop & Accessory,4,Divorced,1,0,2.0,148.51,0
1755,5.0,11.0,4,Laptop & Accessory,4,Single,3,0,,218.55,1
2706,12.0,9.0,6,Laptop & Accessory,1,Married,4,1,4.0,179.05,0
2396,20.0,9.0,4,Others,5,Single,5,0,2.0,314.47,0
3132,24.0,36.0,5,Grocery,3,Divorced,2,0,8.0,295.46,0
1494,7.0,13.0,4,Laptop & Accessory,2,Married,5,0,8.0,202.25,0
569,22.0,9.0,4,Laptop & Accessory,5,Divorced,5,0,2.0,147.89,0
2803,4.0,,4,Mobile Phone,3,Married,4,0,2.0,123.29,0
225,14.0,33.0,4,Laptop & Accessory,5,Married,3,0,6.0,208.96,0
2069,24.0,9.0,4,Grocery,3,Divorced,7,0,4.0,301.39,0
1145,10.0,15.0,4,Laptop & Accessory,4,Married,2,0,3.0,141.89,0
3315,7.0,15.0,5,Mobile Phone,2,Single,2,0,3.0,148.42,0
8,11.0,12.0,4,Mobile Phone,3,Married,2,0,4.0,137.02,0
1956,27.0,16.0,3,Laptop & Accessory,5,Single,7,1,4.0,144.4,0
321,11.0,8.0,3,Mobile Phone,1,Single,6,1,2.0,139.44,0
1414,0.0,16.0,3,Laptop & Accessory,1,Single,2,0,2.0,146.84,0
436,15.0,8.0,3,Mobile Phone,3,Married,1,1,0.0,126.96,0
1763,20.0,9.0,4,Grocery,3,Married,8,0,2.0,303.61,0
106,1.0,14.0,2,Mobile Phone,5,Single,2,0,8.0,160.78,0
1825,17.0,10.0,3,Laptop & Accessory,4,Single,10,0,3.0,159.33,0
144,19.0,6.0,3,Fashion,5,Married,2,0,7.0,204.53,0
122,0.0,12.0,3,Mobile Phone,1,Married,2,1,2.0,56.0,0
2974,0.0,6.0,3,Laptop & Accessory,4,Married,2,0,4.0,163.97,0
3725,2.0,7.0,4,Mobile Phone,3,Single,2,1,3.0,146.54,0
1254,22.0,7.0,3,Grocery,3,Single,5,0,0.0,253.79,0
2426,6.0,6.0,4,Mobile Phone,5,Single,4,1,2.0,127.99,0
3318,1.0,7.0,4,Mobile Phone,2,Single,3,1,9.0,151.86,1
3510,10.0,20.0,3,Mobile Phone,5,Married,2,0,17.0,130.34,0
116,7.0,14.0,3,Laptop & Accessory,5,Married,4,0,0.0,151.21,0
1878,4.0,12.0,2,Laptop & Accessory,2,Married,5,0,7.0,154.6,0
1663,1.0,11.0,5,Laptop & Accessory,1,Single,3,1,4.0,169.87,0
2653,16.0,16.0,4,Laptop & Accessory,3,Married,2,0,0.0,152.57,0
3633,29.0,15.0,3,Mobile Phone,3,Divorced,3,0,3.0,129.42,0
3852,15.0,29.0,4,Laptop & Accessory,2,Married,5,1,4.0,179.67,0
2372,23.0,25.0,4,Laptop & Accessory,2,Married,3,1,8.0,193.04,0
2741,21.0,9.0,4,Others,4,Single,9,1,9.0,317.46,1
697,4.0,22.0,5,Fashion,5,Married,4,0,8.0,196.4,0
1892,9.0,6.0,5,Fashion,5,Married,3,1,7.0,202.52,0
2174,28.0,32.0,4,Others,1,Married,2,0,13.0,295.86,0
3255,5.0,13.0,4,Laptop & Accessory,3,Divorced,2,0,8.0,154.84,0
610,,8.0,3,Mobile Phone,1,Married,2,0,2.0,120.14,0
1943,26.0,18.0,4,Laptop & Accessory,3,Divorced,10,0,5.0,156.49,0
3917,4.0,6.0,5,Laptop & Accessory,3,Divorced,1,0,4.0,143.45,0
923,,9.0,3,Mobile Phone,4,Single,2,0,0.0,114.83,0
2327,0.0,28.0,3,Laptop & Accessory,3,Married,2,1,7.0,161.79,1
1806,12.0,30.0,4,Laptop & Accessory,1,Married,11,0,3.0,182.45,0
2395,19.0,6.0,3,Mobile Phone,5,Single,7,0,7.0,134.23,0
216,28.0,24.0,4,Fashion,3,Married,10,0,9.0,232.39,0
811,6.0,15.0,3,Mobile Phone,2,Divorced,1,0,10.0,127.81,0
2663,0.0,,3,Mobile Phone,5,Single,6,1,4.0,126.57,1
1559,4.0,16.0,3,Laptop & Accessory,1,Married,3,1,4.0,165.83,0
2235,7.0,8.0,3,Laptop & Accessory,1,Single,2,0,11.0,166.87,0
833,4.0,26.0,3,Laptop & Accessory,3,Married,2,0,0.0,169.32,0
3359,1.0,26.0,5,Mobile Phone,4,Married,3,1,1.0,149.13,1
1912,19.0,9.0,5,Mobile Phone,3,Single,3,0,1.0,147.74,0
3674,5.0,30.0,3,Laptop & Accessory,2,Divorced,2,0,7.0,153.09,0
2854,5.0,9.0,4,Laptop & Accessory,5,Single,9,0,4.0,178.32,0
3413,20.0,7.0,4,Others,1,Married,11,0,3.0,321.27,0
1652,27.0,9.0,5,Fashion,4,Married,4,0,13.0,200.25,0
3730,15.0,30.0,4,Fashion,3,Single,5,1,3.0,195.82,0
3495,4.0,6.0,3,Laptop & Accessory,2,Single,9,1,5.0,159.93,1
1435,1.0,10.0,5,Mobile Phone,3,Married,3,1,2.0,150.66,0
277,30.0,13.0,1,Laptop & Accessory,1,Married,1,1,9.0,152.2,0
72,15.0,13.0,4,Fashion,3,Single,3,0,,217.41,0
749,1.0,18.0,4,Laptop & Accessory,5,Divorced,3,1,4.0,172.41,0
1136,14.0,9.0,4,Mobile Phone,3,Married,4,0,3.0,145.01,0
401,13.0,8.0,3,Mobile Phone,5,Married,5,0,2.0,133.77,0
602,26.0,14.0,3,Grocery,1,Married,6,0,,218.36,0
2030,9.0,25.0,4,Fashion,1,Single,4,0,,218.62,0
3554,1.0,8.0,4,Mobile Phone,2,Divorced,2,1,2.0,138.67,0
2554,1.0,24.0,4,Mobile Phone,4,Married,2,1,2.0,155.58,0
515,1.0,30.0,5,Fashion,5,Married,3,0,11.0,198.36,1
3084,30.0,6.0,5,Laptop & Accessory,3,Married,3,1,2.0,156.6,0
2771,5.0,14.0,5,Fashion,1,Married,11,0,2.0,240.57,0
3910,9.0,32.0,5,Fashion,4,Divorced,5,0,9.0,234.03,0
3544,10.0,28.0,4,Laptop & Accessory,4,Married,6,0,,214.26,1
1944,7.0,17.0,4,Laptop & Accessory,4,Married,5,0,8.0,144.9,0
1333,0.0,11.0,3,Mobile Phone,1,Single,2,0,2.0,131.17,0
2539,1.0,25.0,5,Mobile Phone,2,Single,3,1,2.0,148.89,1
2314,1.0,28.0,5,Mobile Phone,5,Married,2,0,1.0,147.96,0
208,12.0,23.0,4,Laptop & Accessory,4,Single,4,0,3.0,166.98,0
762,0.0,22.0,3,Mobile Phone,4,Married,10,0,2.0,128.11,0
2025,0.0,15.0,4,Mobile Phone,5,Married,4,0,2.0,144.0,1
541,12.0,7.0,5,Laptop & Accessory,2,Single,6,0,,211.86,0
1815,21.0,12.0,4,Laptop & Accessory,3,Single,3,0,2.0,142.4,0
933,11.0,7.0,4,Laptop & Accessory,4,Divorced,8,0,4.0,189.47,0
384,5.0,14.0,1,Laptop & Accessory,3,Divorced,6,0,3.0,151.75,0
1706,25.0,35.0,3,Mobile Phone,1,Married,3,0,0.0,134.82,0
2624,2.0,7.0,3,Mobile Phone,1,Married,2,0,2.0,137.6,0
3451,1.0,7.0,4,Fashion,5,Married,3,0,8.0,199.12,0
1908,17.0,14.0,1,Mobile Phone,1,Married,3,1,2.0,128.18,0
393,17.0,6.0,4,Laptop & Accessory,3,Single,5,0,2.0,159.85,0
201,10.0,13.0,2,Mobile Phone,1,Married,5,0,1.0,155.38,0
1095,16.0,31.0,4,Fashion,5,Divorced,3,1,9.0,199.06,0
609,13.0,15.0,3,Mobile Phone,4,Married,9,1,0.0,136.17,0
534,0.0,16.0,4,Fashion,5,Married,10,0,0.0,203.06,1
2487,18.0,7.0,2,Laptop & Accessory,5,Married,4,0,3.0,175.33,0
2512,1.0,8.0,4,Mobile Phone,5,Single,2,0,7.0,153.67,0
438,19.0,9.0,4,Laptop & Accessory,4,Married,2,0,8.0,173.05,0
1131,27.0,25.0,3,Fashion,4,Divorced,3,0,1.0,207.25,0
2311,1.0,21.0,4,Mobile Phone,3,Single,3,0,1.0,140.14,0
210,22.0,26.0,3,Laptop & Accessory,5,Married,2,0,11.0,165.67,0
504,5.0,14.0,4,Fashion,5,Married,4,0,,221.37,0
1764,18.0,12.0,5,Mobile Phone,3,Single,5,0,4.0,156.62,0
1856,1.0,8.0,5,Laptop & Accessory,3,Single,3,0,3.0,171.17,0
3920,26.0,8.0,3,Grocery,3,Married,7,0,2.0,248.52,0
825,12.0,19.0,5,Laptop & Accessory,5,Married,4,0,3.0,187.88,0
3159,0.0,17.0,3,Laptop & Accessory,5,Married,2,1,3.0,147.41,0
1251,19.0,27.0,6,Fashion,5,Married,4,1,8.0,233.51,0
1250,9.0,35.0,2,Laptop & Accessory,3,Married,3,0,9.0,159.07,0
2125,1.0,22.0,4,Fashion,3,Married,9,1,8.0,261.1,1
2358,6.0,14.0,3,Laptop & Accessory,3,Single,3,1,0.0,163.88,0
1778,10.0,16.0,4,Fashion,1,Married,6,0,,225.96,1
3912,12.0,7.0,3,Laptop & Accessory,2,Single,2,0,9.0,201.25,0
2267,15.0,11.0,3,Fashion,4,Single,10,1,7.0,184.46,1
1512,9.0,11.0,5,Mobile Phone,1,Married,3,0,3.0,148.76,0
1595,,12.0,3,Laptop & Accessory,3,Divorced,3,1,5.0,123.06,0
84,8.0,11.0,4,Fashion,1,Married,4,1,,222.13,0
2972,8.0,15.0,4,Fashion,3,Divorced,2,1,15.0,206.85,0
3212,10.0,10.0,4,Mobile Phone,4,Married,3,0,8.0,161.92,0
20,1.0,33.0,5,Laptop & Accessory,5,Single,7,0,2.0,191.96,1
1818,0.0,7.0,4,Mobile Phone,3,Married,2,1,0.0,129.33,0
2219,16.0,17.0,4,Mobile Phone,3,Married,5,0,4.0,154.36,0
2082,14.0,9.0,5,Mobile Phone,2,Single,2,1,4.0,148.42,0
1506,26.0,14.0,4,Fashion,4,Single,9,0,,229.45,0
2452,14.0,27.0,4,Fashion,1,Married,6,0,,228.22,0
1709,1.0,15.0,2,Mobile Phone,3,Married,9,0,3.0,160.17,0
3923,4.0,26.0,1,Mobile Phone,1,Married,1,0,2.0,127.91,0
3467,1.0,7.0,4,Laptop & Accessory,3,Married,3,0,8.0,177.96,0
2451,3.0,,3,Mobile Phone,2,Single,1,0,7.0,125.64,0
1012,19.0,9.0,3,Grocery,4,Divorced,9,0,1.0,266.06,0
3622,10.0,17.0,4,Fashion,3,Married,5,0,8.0,195.94,0
918,1.0,22.0,4,Mobile Phone,3,Divorced,3,0,3.0,151.1,1
1147,14.0,7.0,4,Laptop & Accessory,1,Married,6,0,4.0,190.13,0
158,9.0,23.0,4,Fashion,3,Married,6,1,1.0,201.32,0
2847,4.0,12.0,5,Mobile Phone,2,Married,11,0,4.0,162.61,0
921,13.0,8.0,3,Others,3,Married,1,0,9.0,294.36,0
3936,28.0,9.0,5,Fashion,3,Married,8,0,1.0,231.86,0
2126,9.0,9.0,3,Mobile Phone,4,Married,2,0,7.0,136.92,0
1643,2.0,9.0,3,Mobile Phone,5,Single,2,1,5.0,147.23,0
3138,4.0,26.0,3,Mobile Phone,4,Single,2,1,2.0,131.4,1
1988,2.0,16.0,3,Mobile Phone,4,Married,1,0,1.0,132.91,0
3226,6.0,10.0,4,Fashion,1,Single,5,0,8.0,236.59,0
2376,16.0,15.0,4,Others,2,Married,3,0,10.0,309.3,0
1947,6.0,16.0,3,Laptop & Accessory,3,Single,2,0,9.0,154.87,0
1565,3.0,10.0,4,Mobile Phone,5,Single,3,1,6.0,172.23,0
1633,0.0,6.0,4,Mobile Phone,5,Married,2,0,3.0,139.55,0
2187,16.0,13.0,4,Fashion,5,Married,11,0,8.0,258.48,0
3397,15.0,18.0,3,Laptop & Accessory,1,Married,4,1,0.0,150.87,0
469,8.0,17.0,4,Mobile Phone,3,Single,3,1,3.0,154.36,1
2572,23.0,14.0,3,Mobile Phone,4,Married,8,0,2.0,138.75,0
79,0.0,6.0,3,Laptop & Accessory,4,Divorced,1,1,4.0,163.49,0
3803,9.0,30.0,3,Laptop & Accessory,4,Divorced,8,0,8.0,156.74,0
1101,7.0,9.0,5,Laptop & Accessory,5,Single,4,0,12.0,147.59,0
941,22.0,36.0,4,Fashion,3,Married,5,0,1.0,250.04,0
2089,19.0,35.0,5,Grocery,4,Single,3,0,7.0,292.04,0
2757,1.0,20.0,4,Mobile Phone,3,Divorced,3,0,7.0,145.96,0
3470,5.0,19.0,3,Laptop & Accessory,2,Married,3,0,3.0,144.03,0
387,10.0,25.0,3,Fashion,4,Single,2,1,9.0,176.42,0
985,24.0,11.0,4,Others,4,Married,5,0,7.0,316.44,0
2593,17.0,35.0,3,Laptop & Accessory,2,Single,2,0,17.0,145.41,0
2720,0.0,,2,Mobile Phone,4,Married,2,1,2.0,123.28,0
744,2.0,8.0,5,Laptop & Accessory,1,Married,3,1,8.0,193.34,0
3759,11.0,21.0,4,Fashion,2,Married,1,1,,215.1,0
711,24.0,7.0,4,Others,2,Married,5,0,7.0,320.17,0
3271,25.0,17.0,3,Laptop & Accessory,3,Married,9,0,4.0,131.49,0
1368,5.0,12.0,4,Mobile Phone,4,Married,3,0,3.0,152.89,0
310,9.0,13.0,4,Mobile Phone,3,Divorced,2,1,3.0,160.06,0
212,20.0,32.0,3,Others,3,Married,4,0,0.0,296.58,0
1968,15.0,6.0,3,Laptop & Accessory,3,Married,2,0,6.0,149.07,0
2769,8.0,15.0,4,Laptop & Accessory,5,Married,5,0,1.0,176.21,0
3904,2.0,28.0,2,Fashion,4,Married,8,0,,219.96,0
3288,21.0,9.0,4,Grocery,3,Married,5,0,7.0,296.69,0
920,13.0,7.0,4,Others,3,Married,3,1,7.0,316.97,0
2180,7.0,19.0,3,Fashion,3,Married,2,0,1.0,186.28,0
952,3.0,8.0,4,Mobile Phone,1,Married,3,0,3.0,162.6,0
2233,,14.0,1,Mobile Phone,1,Married,2,0,1.0,122.69,0
3025,9.0,12.0,3,Mobile Phone,1,Married,1,0,11.0,132.1,0
193,16.0,14.0,3,Laptop & Accessory,4,Married,5,0,0.0,147.65,0
2731,15.0,23.0,1,Laptop & Accessory,5,Single,4,1,2.0,165.45,0
2505,2.0,8.0,3,Grocery,1,Married,8,0,,221.69,1
1339,14.0,12.0,3,Mobile Phone,5,Single,3,1,17.0,147.21,0
495,1.0,16.0,4,Mobile Phone,5,Single,3,0,3.0,152.28,0
950,14.0,16.0,4,Laptop & Accessory,3,Married,5,0,8.0,164.75,0
3317,0.0,10.0,4,Laptop & Accessory,1,Single,2,1,4.0,158.28,1
281,30.0,13.0,3,Others,5,Divorced,6,0,10.0,295.66,0
1027,6.0,33.0,4,Laptop & Accessory,1,Married,2,0,3.0,169.65,0
1924,3.0,8.0,4,Laptop & Accessory,2,Single,6,1,0.0,168.77,0
1316,21.0,9.0,4,Laptop & Accessory,2,Married,7,0,5.0,175.7,0
2170,5.0,16.0,5,Mobile Phone,4,Single,2,1,3.0,151.57,0
590,18.0,16.0,4,Mobile Phone,5,Divorced,3,1,2.0,150.59,0
1541,3.0,6.0,5,Mobile Phone,3,Divorced,4,0,2.0,138.33,0
1032,4.0,14.0,5,Mobile Phone,4,Married,3,0,2.0,146.41,0
3157,,8.0,1,Mobile Phone,1,Married,2,0,7.0,120.11,0
2019,27.0,14.0,4,Others,3,Married,5,0,8.0,311.06,0
604,3.0,9.0,4,Laptop & Accessory,3,Divorced,3,0,3.0,171.49,0
3867,13.0,16.0,4,Others,1,Single,4,0,4.0,319.31,0
2102,20.0,,4,Mobile Phone,1,Married,10,1,0.0,123.8,1
3927,10.0,25.0,4,Mobile Phone,2,Single,3,0,8.0,146.53,0
1442,0.0,,3,Mobile Phone,5,Divorced,2,0,2.0,125.0,0
1048,8.0,,4,Mobile Phone,3,Married,1,0,2.0,124.3,0
699,4.0,24.0,4,Fashion,5,Divorced,3,1,9.0,244.16000000000005,0
2265,10.0,6.0,3,Fashion,2,Single,5,0,2.0,174.91,0
888,4.0,17.0,5,Laptop & Accessory,3,Divorced,3,0,5.0,190.78,0
456,8.0,22.0,4,Fashion,4,Single,2,0,3.0,186.06,0
2313,2.0,6.0,3,Laptop & Accessory,3,Married,2,0,9.0,143.19,0
2234,12.0,9.0,4,Laptop & Accessory,3,Married,1,0,7.0,130.69,0
2157,31.0,13.0,4,Mobile Phone,3,Married,10,0,3.0,147.67,0
2820,5.0,30.0,3,Laptop & Accessory,1,Married,2,0,7.0,153.09,0
3582,0.0,9.0,3,Mobile Phone,5,Divorced,6,0,2.0,140.31,1
3563,24.0,17.0,5,Fashion,2,Single,8,0,,229.96,0
2383,23.0,13.0,5,Grocery,3,Married,4,1,13.0,264.66,0
3434,8.0,6.0,4,Laptop & Accessory,2,Divorced,1,0,0.0,153.63,0
3155,26.0,32.0,5,Grocery,1,Married,5,0,1.0,263.26,0
1319,,27.0,4,Mobile Phone,5,Married,1,0,0.0,122.96,0
299,13.0,32.0,3,Laptop & Accessory,4,Married,2,0,13.0,156.05,0
1690,1.0,9.0,4,Mobile Phone,3,Single,4,0,1.0,159.85,1
607,16.0,8.0,3,Laptop & Accessory,1,Married,2,0,7.0,156.75,0
1356,12.0,12.0,3,Fashion,4,Single,5,0,2.0,183.76,0
2065,1.0,23.0,4,Mobile Phone,4,Married,11,0,3.0,153.11,0
2375,17.0,7.0,1,Laptop & Accessory,5,Married,3,0,2.0,150.33,0
3557,6.0,12.0,4,Laptop & Accessory,4,Divorced,3,0,4.0,190.24,0
2059,11.0,21.0,4,Fashion,1,Married,1,1,,215.1,0
2701,1.0,18.0,3,Laptop & Accessory,3,Divorced,10,0,3.0,172.07,1
1885,9.0,25.0,4,Laptop & Accessory,5,Married,2,0,5.0,25.0,0
2814,16.0,9.0,5,Mobile Phone,4,Married,6,0,1.0,173.41,0
1521,14.0,16.0,5,Laptop & Accessory,2,Divorced,11,0,3.0,173.76,0
434,11.0,9.0,3,Laptop & Accessory,3,Single,4,1,2.0,143.17,0
550,10.0,9.0,4,Laptop & Accessory,4,Married,6,1,1.0,194.62,0
1099,20.0,14.0,4,Laptop & Accessory,3,Divorced,4,0,1.0,177.58,0
2829,3.0,14.0,5,Mobile Phone,2,Married,8,0,4.0,150.32,0
3183,1.0,9.0,4,Mobile Phone,3,Married,8,1,3.0,164.77,0
2775,16.0,8.0,3,Laptop & Accessory,1,Married,2,1,8.0,178.47,0
134,4.0,8.0,3,Laptop & Accessory,2,Single,5,1,5.0,165.82,0
6,1.0,15.0,6,Mobile Phone,5,Divorced,3,0,2.0,149.51,0
3411,1.0,17.0,5,Laptop & Accessory,2,Divorced,3,1,5.0,182.69,0
430,0.0,26.0,3,Fashion,3,Married,4,0,0.0,198.24,1
